	vrefs
7173	['ESG 1:1i', 'ESG 2:13', 'WIS 1:14', 'WIS 5:16', 'LJE 1:58', '1MA 2:10']
7174	['WIS 18:15', '4MA 3:8']
7175	['ESG 1:1i', 'ESG 1:1l', 'ESG 1:1m', 'ESG 1:1p', 'ESG 1:1q', 'ESG 1:1r', 'ESG 1:2', 'ESG 4:4', 'ESG 4:17', 'ESG 5:1', 'ESG 5:1c', 'ESG 5:2', 'ESG 7:1', 'ESG 7:2', 'ESG 7:6', 'ESG 7:7', 'ESG 7:8', 'ESG 9:29', 'ESG 9:31', 'ESG 10:3']
7176	['1MA 13:23']
7177	['1ES 5:16']
7178	['JDT 1:9']
7179	['1ES 5:26']
7180	['1MA 13:51']
7181	['2MA 2:21', '2MA 4:25', '2MA 5:22', '2MA 10:4', '3MA 3:24']
7182	['1ES 6:22']
7183	['1ES 4:29']
7184	['SIR 26:18']
7185	['WIS 19:10']
7186	['JDT 9:2', 'JDT 9:8', 'SIR 42:10', 'SIR 47:20', '1MA 1:43', '1MA 1:45', '1MA 1:63', '1MA 2:12', '1MA 2:34', '1MA 3:51', '1MA 4:38', '1MA 4:44', '1MA 4:54', '2MA 8:2', '2MA 10:5']
7187	['1ES 5:8']
7188	['1ES 2:12']
7189	['1ES 2:19']
7190	['JDT 2:21', 'JDT 2:21']
7191	['JDT 7:3']
7192	['1MA 6:20', '1MA 6:51']
7193	['ESG 1:1a', 'ESG 2:5', '2MA 3:4', '1ES 2:5', '1ES 5:63', '1ES 9:5']
7194	['1MA 9:4']
7195	['1ES 9:31']
7196	['1ES 2:12']
7197	['2MA 5:16', '3MA 2:2', '3MA 2:14', '3MA 4:16', '3MA 7:15']
7198	['WIS 5:12', 'SIR 19:12', 'SIR 26:12', '1MA 6:51', '2MA 5:3', '2MA 12:27']
7199	['2MA 13:4']
7200	['1ES 5:13', '1ES 8:37', '1ES 9:29']
7201	['JDT 15:4']
7202	['1MA 10:83']
7203	['1MA 7:19']
7204	['BEL 1:3', 'BEL 1:5', 'BEL 1:6', 'BEL 1:8', 'BEL 1:8', 'BEL 1:9', 'BEL 1:10', 'BEL 1:11', 'BEL 1:11', 'BEL 1:13', 'BEL 1:18', 'BEL 1:22', 'BEL 1:28']
7205	['1ES 8:32']
7206	['1ES 5:19']
7207	['2MA 13:26', '1ES 9:42']
7208	['2MA 2:13']
7209	['1ES 6:20', '1ES 6:22']
7210	['TOB 7:14', 'TOB 7:14', 'ESG 9:20', 'ESG 10:2', 'SIR 1:1', 'SIR 50:27', 'BAR 1:1', 'BAR 1:3', 'BAR 1:14', '1MA 1:44', '1MA 1:56', '1MA 1:57', '1MA 3:48', '1MA 12:9', '1MA 14:23', '1MA 16:24', '2MA 2:13', '2MA 2:23', '1ES 1:12', '1ES 1:31', '1ES 2:16', '1ES 9:45']
7211	['WIS 12:23', 'SIR 40:28', '4MA 5:22', '4MA 17:18']
7212	['TOB 1:1', 'TOB 6:13', 'TOB 7:12', 'TOB 7:13', 'SIR 24:23', 'BAR 1:3', 'BAR 4:1', '2MA 6:12', '2MA 8:23', '1ES 1:31', '1ES 1:40', '1ES 5:48', '1ES 7:6', '1ES 7:9']
7213	['ESG 3:13', 'WIS 2:1', 'WIS 2:4', 'WIS 2:15', 'WIS 4:9', 'WIS 5:4', 'WIS 7:6', 'WIS 8:5', 'WIS 8:7', 'WIS 10:8', 'WIS 14:21', 'WIS 14:24', 'WIS 15:9', 'WIS 15:10', 'WIS 15:12', 'SIR 29:22', 'SIR 31:4', 'SIR 38:19', 'SIR 40:29', '2MA 4:7', '2MA 5:5', '2MA 6:19', '2MA 6:27', '2MA 9:28', '2MA 10:13', '2MA 14:25', '3MA 4:4', '3MA 4:6', '3MA 5:49', '3MA 6:1', '3MA 6:10', '4MA 1:15', '4MA 4:1', '4MA 5:36', '4MA 6:18', '4MA 7:7', '4MA 7:15', '4MA 8:8', '4MA 8:23', '4MA 10:15', '4MA 12:18', '4MA 13:24', '4MA 16:18', '4MA 17:14', '4MA 18:9', '1ES 1:29']
7214	['BEL 1:8', '2MA 10:34', '2MA 12:14']
7215	['1MA 2:6', '2MA 8:4', '2MA 10:35', '2MA 15:24']
7216	['WIS 1:6', 'SIR 3:16', '2MA 9:28', '2MA 10:4', '2MA 10:36']
7217	['1ES 8:2']
7218	['SIR 26:7']
7219	['1ES 5:8']
7220	['1MA 5:26', '1MA 5:28']
7221	['1MA 5:26', '1MA 5:36']
7222	['WIS 16:12']
7223	['ESG 7:9']
7224	['ESG 1:1a', 'ESG 3:1', 'ESG 9:10']
7225	['JDT 2:17', 'SIR 38:25']
7226	['SIR 27:26']
7227	['1ES 3:6']
7228	['1MA 1:47', '1MA 1:54', '1MA 2:25', '1MA 2:25', '1MA 2:25', '1MA 2:45', '1MA 5:68', '2MA 10:2']
7229	['ESG 1:1k']
7230	['TOB 1:1', 'TOB 10:2']
7231	['TOB 1:14', 'TOB 4:1', 'TOB 5:6', 'TOB 9:2', 'TOB 9:5', 'TOB 4:20']
7232	['ESG 1:1a']
7233	['TOB 1:14', 'TOB 4:1', 'TOB 5:6', 'TOB 9:2', 'TOB 9:5', 'TOB 4:20']
7234	['1ES 5:20']
7235	['TOB 1:14', 'TOB 4:20']
7236	['1MA 2:2']
7237	['1MA 4:15', '1MA 7:45', '1MA 9:52', '1MA 13:43', '1MA 13:53', '1MA 14:7', '1MA 14:34', '1MA 15:28', '1MA 15:35', '1MA 16:1', '1MA 16:19', '1MA 16:21', '2MA 10:32']
7238	['1ES 5:31']
7239	['1MA 4:15', '1MA 7:45', '1MA 9:52', '1MA 13:43', '1MA 13:53', '1MA 14:7', '1MA 14:34', '1MA 15:28', '1MA 15:35', '1MA 16:1', '1MA 16:19', '1MA 16:21', '2MA 10:32']
7240	['1MA 4:15', '1MA 7:45', '1MA 9:52', '1MA 13:43', '1MA 13:53', '1MA 14:7', '1MA 14:34', '1MA 15:28', '1MA 15:35', '1MA 16:1', '1MA 16:19', '1MA 16:21', '2MA 10:32']
7241	['1MA 3:28', '1MA 14:49', '2MA 3:6', '2MA 3:24', '2MA 3:28', '2MA 3:40', '2MA 4:42', '2MA 5:18', '4MA 4:3', '4MA 4:6', '1ES 5:44', '1ES 8:18', '1ES 8:44']
7242	['JDT 3:10']
7243	['ESG 2:8', 'ESG 2:8', 'ESG 2:14']
7244	['JDT 9:7']
7245	['1MA 5:17', '1MA 5:20', '1MA 5:25', '1MA 5:27', '1MA 5:36', '1MA 5:45', '1MA 13:22']
7246	['JDT 1:8', 'JDT 15:5', '1MA 5:9', '1MA 5:55']
7247	['1MA 8:2', '2MA 8:20']
7248	['TOB 1:2', 'JDT 1:8', 'JDT 15:5', '1MA 5:14', '1MA 5:15', '1MA 5:17', '1MA 5:20', '1MA 5:21', '1MA 5:23', '1MA 5:55', '1MA 10:30', '1MA 11:63', '1MA 12:47', '1MA 12:49']
7249	['1ES 8:29']
7250	['2MA 5:23', '2MA 6:2']
7251	['1ES 8:29']
7252	['1ES 5:34']
7253	['1MA 11:61', '1MA 11:61', '1MA 11:62']
7254	['1MA 9:2']
7255	['1ES 5:30']
7256	['JDT 8:1']
7257	['2MA 12:2']
7258	['1MA 11:67']
7259	['JDT 5:16']
7260	['2MA 13:24']
7261	['JDT 1:9']
7262	['SIR 24:27']
7263	['TOB 1:4', 'TOB 3:6', 'TOB 3:6', 'TOB 3:13', 'TOB 3:15', 'TOB 6:3', 'TOB 10:14', 'TOB 12:20', 'TOB 13:2', 'TOB 13:13', 'TOB 13:13', 'TOB 14:4', 'TOB 14:5', 'TOB 14:6', 'TOB 14:7', 'TOB 14:7', 'TOB 14:10', 'JDT 1:9', 'JDT 1:11', 'JDT 1:12', 'JDT 1:12', 'JDT 2:1', 'JDT 2:2', 'JDT 2:5', 'JDT 2:6', 'JDT 2:7', 'JDT 2:7', 'JDT 2:9', 'JDT 2:11', 'JDT 2:19', 'JDT 2:20', 'JDT 3:8', 'JDT 5:7', 'JDT 5:9', 'JDT 5:10', 'JDT 5:12', 'JDT 5:15', 'JDT 5:18', 'JDT 5:21', 'JDT 6:2', 'JDT 6:4', 'JDT 7:4', 'JDT 7:18', 'JDT 7:28', 'JDT 8:22', 'JDT 9:12', 'JDT 10:19', 'JDT 11:1', 'JDT 11:7', 'JDT 11:8', 'JDT 11:16', 'JDT 11:21', 'JDT 11:23', 'JDT 13:18', 'JDT 13:18', 'JDT 14:2', 'JDT 16:21', 'ESG 1:1a', 'ESG 1:1a', 'ESG 4:17', 'ESG 4:17', 'ESG 10:1', 'WIS 1:1', 'WIS 1:14', 'WIS 5:23', 'WIS 6:1', 'WIS 7:3', 'WIS 9:16', 'WIS 9:18', 'WIS 10:4', 'WIS 11:22', 'WIS 12:3', 'WIS 12:7', 'WIS 15:7', 'WIS 15:8', 'WIS 15:10', 'WIS 16:19', 'WIS 18:15', 'WIS 18:16', 'WIS 19:7', 'WIS 19:10', 'WIS 19:19', 'SIR 1:3', 'SIR 10:4', 'SIR 10:9', 'SIR 10:16', 'SIR 10:17', 'SIR 16:18', 'SIR 16:19', 'SIR 16:29', 'SIR 17:1', 'SIR 17:32', 'SIR 20:28', 'SIR 24:3', 'SIR 24:6', 'SIR 33:10', 'SIR 36:17', 'SIR 38:4', 'SIR 38:8', 'SIR 39:4', 'SIR 39:31', 'SIR 40:3', 'SIR 40:11', 'SIR 40:11', 'SIR 41:10', 'SIR 41:10', 'SIR 43:17', 'SIR 43:19', 'SIR 44:17', 'SIR 44:21', 'SIR 44:21', 'SIR 45:22', 'SIR 46:8', 'SIR 46:9', 'SIR 46:20', 'SIR 47:15', 'SIR 47:24', 'SIR 48:15', 'SIR 48:15', 'SIR 49:14', 'SIR 49:14', 'SIR 50:17', 'SIR 51:9', 'BAR 1:8', 'BAR 1:9', 'BAR 1:11', 'BAR 1:19', 'BAR 1:20', 'BAR 1:20', 'BAR 2:11', 'BAR 2:15', 'BAR 2:21', 'BAR 2:23', 'BAR 2:30', 'BAR 2:32', 'BAR 2:34', 'BAR 2:35', 'BAR 3:10', 'BAR 3:10', 'BAR 3:16', 'BAR 3:20', 'BAR 3:23', 'BAR 3:32', 'BAR 3:38', 'BAR 5:7', 'LJE 1:19', 'LJE 1:25', 'LJE 1:53', 'BEL 1:5', '1MA 1:1', '1MA 1:2', '1MA 1:3', '1MA 1:3', '1MA 1:9', '1MA 1:16', '1MA 1:19', '1MA 1:19', '1MA 1:24', '1MA 1:28', '1MA 1:44', '1MA 1:52', '1MA 2:37', '1MA 2:40', '1MA 2:56', '1MA 3:9', '1MA 3:24', '1MA 3:29', '1MA 3:36', '1MA 3:39', '1MA 3:40', '1MA 3:41', '1MA 4:22', '1MA 4:40', '1MA 5:45', '1MA 5:48', '1MA 5:48', '1MA 5:53', '1MA 5:55', '1MA 5:65', '1MA 5:66', '1MA 5:68', '1MA 5:68', '1MA 6:5', '1MA 6:13', '1MA 6:46', '1MA 6:49', '1MA 7:6', '1MA 7:10', '1MA 7:22', '1MA 7:50', '1MA 8:4', '1MA 8:10', '1MA 8:16', '1MA 9:1', '1MA 9:13', '1MA 9:57', '1MA 9:69', '1MA 9:72', '1MA 9:72', '1MA 10:13', '1MA 10:30', '1MA 10:33', '1MA 10:37', '1MA 10:55', '1MA 10:67', '1MA 10:72', '1MA 11:34', '1MA 11:38', '1MA 11:52', '1MA 11:71', '1MA 12:4', '1MA 12:46', '1MA 12:52', '1MA 13:1', '1MA 13:12', '1MA 13:24', '1MA 13:32', '1MA 14:4', '1MA 14:8', '1MA 14:8', '1MA 14:10', '1MA 14:11', '1MA 14:13', '1MA 15:9', '1MA 15:10', '1MA 15:14', '1MA 15:29', '1MA 15:33', '2MA 1:7', '2MA 3:27', '2MA 5:15', '2MA 5:21', '2MA 7:28', '2MA 9:8', '2MA 10:25', '2MA 13:7', '2MA 14:15', '2MA 15:5', '3MA 2:9', '3MA 2:14', '3MA 6:3', '3MA 6:5', '3MA 6:7', '3MA 6:15', '3MA 7:20', '4MA 15:15', '4MA 18:5', '1ES 1:55', '1ES 4:2', '1ES 4:6', '1ES 4:15', '1ES 4:34', '1ES 4:36', '1ES 5:49', '1ES 5:49', '1ES 5:69', '1ES 6:12', '1ES 7:13', '1ES 8:66', '1ES 8:67', '1ES 8:74', '1ES 8:80', '1ES 8:80', '1ES 8:80', '1ES 8:82', '1ES 8:84', '1ES 8:89', '1ES 9:9', '1ES 9:47']
7264	['WIS 14:17', 'WIS 15:13', '1MA 5:68']
7265	['WIS 18:24']
7266	['SIR 38:27', 'SIR 45:11']
7267	['WIS 13:13', 'SIR 38:27']
7268	['1ES 8:33']
7269	['JDT 6:15']
7270	['SIR 47:4']
7271	['1MA 3:38', '1MA 4:1', '1MA 4:5', '1MA 4:18', '1MA 5:59', '2MA 8:9', '2MA 10:14', '2MA 12:32', '2MA 12:35', '2MA 12:35', '2MA 12:37']
7272	['1MA 15:23']
7273	['ESG 3:12', 'ESG 8:9', 'ESG 9:3', 'SIR 10:5', 'SIR 38:24', '1MA 5:42', '1MA 7:12', '2MA 6:18', '3MA 4:17', '1ES 2:12', '1ES 2:13', '1ES 2:19', '1ES 2:25', '1ES 8:3']
7274	['SIR 39:32', 'SIR 42:7', 'SIR 44:5', 'SIR 45:11', '1MA 12:21', '1MA 14:27', '1MA 14:48', '2MA 2:4', '3MA 2:27', '4MA 18:14', '1ES 1:4', '1ES 5:39', '1ES 8:30']
7275	['ESG 4:3', 'ESG 6:1', 'ESG 6:2', 'ESG 8:5', 'ESG 8:10', 'ESG 9:1', '1MA 5:10', '1ES 3:9', '1ES 3:13', '1ES 3:14']
7276	['TOB 1:6', 'TOB 7:13', 'TOB 7:14', 'TOB 12:20', 'JDT 4:6', 'ESG 1:1a', 'ESG 1:1a', 'ESG 1:2', 'ESG 3:10', 'ESG 3:12', 'ESG 3:13', 'ESG 3:13', 'ESG 6:2', 'ESG 8:5', 'ESG 8:8', 'ESG 8:8', 'ESG 8:9', 'ESG 8:10', 'ESG 9:1', 'ESG 9:20', 'ESG 9:23', 'ESG 9:29', 'ESG 9:32', 'ESG 10:1', 'ESG 10:2', 'SIR 1:1', 'BAR 1:1', 'BAR 2:2', 'BAR 2:28', '1MA 1:41', '1MA 1:51', '1MA 7:16', '1MA 8:20', '1MA 8:31', '1MA 10:17', '1MA 10:24', '1MA 10:56', '1MA 10:59', '1MA 10:65', '1MA 11:22', '1MA 11:29', '1MA 11:31', '1MA 11:31', '1MA 11:57', '1MA 12:5', '1MA 12:22', '1MA 13:35', '1MA 13:37', '1MA 13:40', '1MA 13:42', '1MA 14:18', '1MA 14:23', '1MA 14:43', '1MA 15:15', '1MA 15:19', '1MA 15:22', '1MA 15:24', '1MA 16:18', '1MA 16:24', '2MA 1:7', '2MA 2:16', '2MA 8:8', '2MA 9:18', '2MA 9:25', '2MA 11:16', '2MA 14:27', '3MA 3:11', '3MA 3:30', '3MA 6:41', '1ES 1:12', '1ES 2:17', '1ES 2:19', '1ES 2:25', '1ES 3:8', '1ES 3:9', '1ES 3:10', '1ES 3:11', '1ES 3:12', '1ES 3:16', '1ES 4:42', '1ES 4:47', '1ES 4:48', '1ES 4:49', '1ES 4:54', '1ES 4:55', '1ES 4:56', '1ES 5:53', '1ES 6:7', '1ES 6:11', '1ES 6:16', '1ES 8:8', '1ES 8:62']
7277	['4MA 11:20']
7278	['1MA 1:14', '2MA 4:9', '2MA 4:12', '4MA 4:20']
7279	['SUS 1:38']
7280	['1MA 10:84', '1MA 11:4']
7281	['SIR 45:18', '4MA 2:17']
7282	['1MA 5:9']
7283	['TOB 3:8', 'TOB 3:17', 'TOB 6:8', 'TOB 6:14', 'TOB 6:16', 'TOB 6:17', 'TOB 8:3', 'BAR 4:7', 'BAR 4:35']
7284	['1ES 5:31']
7285	['TOB 1:22', 'JDT 10:4', 'BEL 1:11', 'BEL 1:14', '1MA 6:15']
7286	['1ES 5:37']
7287	['JDT 1:12']
7288	['JDT 1:7', 'JDT 2:27', 'JDT 15:5', '1MA 11:62', '1MA 12:32']
7289	['SUS 1:45', 'SUS 1:51', 'SUS 1:55', 'SUS 1:59', 'SUS 1:61', 'BEL 1:2', 'BEL 1:4', 'BEL 1:7', 'BEL 1:8', 'BEL 1:9', 'BEL 1:10', 'BEL 1:11', 'BEL 1:14', 'BEL 1:16', 'BEL 1:17', 'BEL 1:19', 'BEL 1:22', 'BEL 1:24', 'BEL 1:25', 'BEL 1:27', 'BEL 1:29', 'BEL 1:30', 'BEL 1:32', 'BEL 1:34', 'BEL 1:37', 'BEL 1:37', 'BEL 1:38', 'BEL 1:39', 'BEL 1:40', 'BEL 1:40', 'BEL 1:41', '1MA 2:60', '3MA 6:7', '4MA 16:3', '4MA 16:21', '4MA 18:13']
7290	['TOB 1:5']
7291	['1MA 1:1']
7292	['1ES 2:26', '1ES 3:1', '1ES 3:3', '1ES 3:5', '1ES 3:7', '1ES 3:7', '1ES 3:8', '1ES 4:47', '1ES 5:2', '1ES 5:6', '1ES 5:71', '1ES 6:1', '1ES 6:6', '1ES 6:7', '1ES 6:8', '1ES 6:22', '1ES 6:33', '1ES 7:1', '1ES 7:5', '1ES 7:5']
7293	['SIR 45:25', 'SIR 47:1', 'SIR 47:2', 'SIR 47:22', 'SIR 48:16', 'SIR 48:22', 'SIR 49:4', '1MA 1:33', '1MA 2:31', '1MA 2:57', '1MA 4:30', '1MA 7:32', '1MA 14:36', '2MA 2:13', '4MA 3:6', '4MA 3:7', '4MA 18:15', '1ES 1:3', '1ES 1:4', '1ES 1:15', '1ES 5:5', '1ES 5:57', '1ES 8:29', '1ES 8:48']
7294	['SIR 38:26']
7295	['2MA 4:33']
7296	['2MA 4:22']
7297	['TOB 1:8']
7298	['ESG 9:7']
7299	['WIS 10:14', 'SIR 6:25', 'SIR 6:30', 'SIR 13:12', 'SIR 28:19', 'SIR 28:20', 'SIR 28:20', '3MA 3:25', '3MA 5:6', '3MA 6:27', '4MA 12:2', '1ES 1:38']
7300	['2MA 14:16']
7301	['JDT 9:12', 'ESG 4:17', 'SIR 4:6', 'SIR 21:5', 'SIR 35:13', 'SIR 35:16', 'SIR 36:16', 'SIR 38:34', 'SIR 51:11', 'BAR 2:14', 'BAR 4:20', '1MA 7:37', '1MA 11:49', '2MA 1:5', '2MA 10:27', '3MA 1:21', '3MA 1:23', '3MA 2:1', '3MA 2:10']
7302	['1MA 8:22', '1MA 14:18', '1MA 14:26', '1MA 14:48']
7303	['SIR 14:18', 'SUS 1:54', 'SUS 1:58', '4MA 14:16']
7304	['TOB 3:11', 'JDT 8:31', 'JDT 12:8', 'ESG 4:17', 'ESG 4:17', 'WIS 8:21', 'WIS 16:25', 'WIS 18:2', 'SIR 4:5', 'SIR 17:25', 'SIR 21:1', 'SIR 26:5', 'SIR 28:2', 'SIR 28:4', 'SIR 33:20', 'SIR 33:22', 'SIR 37:15', 'SIR 38:14', 'SIR 39:5', 'SIR 39:5', 'SIR 50:19', 'SIR 51:9', 'BAR 2:8', '2MA 1:8', '3MA 1:16', '3MA 1:24', '3MA 2:10', '3MA 5:7', '3MA 5:25', '4MA 2:8', '1ES 4:46', '1ES 8:53']
7305	['WIS 17:2', '2MA 14:27', '2MA 14:33', '3MA 4:7', '3MA 7:5']
7306	['1MA 7:1', '1MA 7:4', '1MA 8:31', '1MA 9:1', '1MA 10:2', '1MA 10:3', '1MA 10:15', '1MA 10:22', '1MA 10:25', '1MA 10:48', '1MA 10:49', '1MA 10:50', '1MA 10:52', '1MA 10:67', '1MA 10:67', '1MA 10:69', '1MA 11:9', '1MA 11:12', '1MA 11:19', '1MA 11:30', '1MA 11:32', '1MA 11:38', '1MA 11:39', '1MA 11:40', '1MA 11:41', '1MA 11:42', '1MA 11:52', '1MA 11:55', '1MA 11:63', '1MA 12:24', '1MA 12:34', '1MA 13:34', '1MA 13:35', '1MA 13:36', '1MA 14:1', '1MA 14:2', '1MA 14:3', '1MA 14:38', '1MA 15:1', '1MA 15:22', '2MA 1:7', '2MA 14:1', '2MA 14:4', '2MA 14:5', '2MA 14:11', '2MA 14:26']
7307	['2MA 12:2']
7308	['SIR 33:3', '4MA 2:7']
7309	['SIR 45:10', '1ES 5:40']
7310	['1MA 15:23']
7311	['JDT 11:12', '2MA 3:23', '2MA 9:15', '2MA 15:6', '2MA 15:17']
7312	['JDT 9:13', 'WIS 18:22', 'SIR 11:20', 'SIR 14:12', 'SIR 14:17', 'SIR 16:22', 'SIR 17:12', 'SIR 24:23', 'SIR 28:7', 'SIR 38:33', 'SIR 39:8', 'SIR 41:20', 'SIR 42:2', 'SIR 44:12', 'SIR 44:18', 'SIR 44:20', 'SIR 44:20', 'SIR 44:23', 'SIR 45:5', 'SIR 45:7', 'SIR 45:15', 'SIR 45:17', 'SIR 45:24', 'SIR 45:25', 'SIR 47:11', 'BAR 2:35', '1MA 1:11', '1MA 1:15', '1MA 1:57', '1MA 1:63', '1MA 2:20', '1MA 2:27', '1MA 2:50', '1MA 2:54', '1MA 4:10', '1MA 11:9', '2MA 1:2', '2MA 7:36', '2MA 8:15']
7313	['1MA 11:58']
7314	['ESG 8:12', 'WIS 9:12', 'LJE 1:53', '4MA 1:14']
7315	['WIS 15:4', 'WIS 19:18']
7316	['1ES 4:31']
7317	['2MA 6:27']
7318	['JDT 7:12', 'JDT 11:13', 'JDT 13:16', 'WIS 10:1', 'WIS 10:12', 'WIS 17:4', 'SIR 41:16', '2MA 1:26', '2MA 3:15', '2MA 3:22', '2MA 6:6', '2MA 10:30', '2MA 15:30']
7319	['ESG 7:4', 'ESG 8:1', '1MA 1:36']
7320	['WIS 2:24']
7321	['WIS 3:18']
7322	['ESG 1:1l', 'ESG 2:17', 'ESG 8:12c', 'WIS 5:16', 'WIS 18:24', 'SIR 11:5', 'SIR 47:6', '1MA 1:9', '1MA 6:15', '1MA 8:14', '1MA 11:13', '1MA 11:13', '1MA 11:54', '1MA 12:39', '1MA 13:32', '1ES 4:30']
7323	['ESG 1:1k', 'ESG 2:2', 'ESG 6:3', 'ESG 6:5', '4MA 9:17']
7324	['JDT 8:14', 'WIS 4:14', 'SIR 3:24', 'SIR 22:17', 'SIR 29:16', 'BAR 1:22', 'BAR 4:28', 'LJE 1:5', '1MA 10:74', '1MA 11:49', '2MA 2:2', '2MA 3:16', '2MA 5:17', '3MA 4:1', '3MA 5:28', '3MA 5:39', '4MA 2:2', '4MA 7:5', '4MA 11:14', '4MA 13:4', '1ES 3:18', '1ES 3:19', '1ES 3:20', '1ES 4:26']
7325	['TOB 1:3', 'TOB 2:14', 'TOB 4:5', 'TOB 4:7', 'TOB 12:8', 'TOB 13:7', 'TOB 14:6', 'WIS 1:1', 'WIS 1:15', 'WIS 2:11', 'WIS 5:6', 'WIS 5:18', 'WIS 8:7', 'WIS 8:7', 'WIS 9:3', 'WIS 12:16', 'WIS 14:7', 'WIS 15:3', 'SIR 16:22', 'SIR 26:28', 'SIR 44:10', 'SIR 45:26', 'BAR 1:15', 'BAR 2:6', 'BAR 2:18', 'BAR 4:13', 'BAR 5:2', 'BAR 5:4', 'BAR 5:9', '1MA 2:29', '1MA 2:52', '1MA 14:35', '4MA 1:4', '4MA 1:6', '4MA 1:18', '4MA 2:6', '4MA 5:24']
7326	['TOB 6:12', 'TOB 6:13', 'TOB 12:4', 'ESG 10:3', 'SIR 1:22', 'SIR 7:5', 'SIR 9:12', 'SIR 10:29', 'SIR 13:22', 'SIR 18:2', 'SIR 18:22', 'SIR 23:11', 'SIR 26:29', 'SIR 31:5', 'SIR 42:2']
7327	['SIR 4:17', 'SIR 32:16', 'BAR 2:12', 'BAR 2:17', 'BAR 2:19', 'BAR 4:13', '1MA 1:13', '1MA 1:49', '1MA 2:21', '1MA 2:40', '4MA 18:6', '1ES 8:7']
7328	['WIS 9:12', 'WIS 12:15', 'WIS 19:13', '2MA 7:38', '2MA 9:6', '2MA 13:8', '3MA 7:7']
7329	['WIS 6:1', 'WIS 9:7', 'SIR 38:33', 'BAR 2:1', '1ES 8:23']
7330	['2MA 6:7', '2MA 6:7', '2MA 14:33', '3MA 2:29']
7331	['2MA 6:7', '2MA 6:7', '2MA 14:33', '3MA 2:29']
7332	['BAR 5:2']
7333	['SIR 24:30', 'SIR 24:31']
7334	['TOB 3:2', 'TOB 3:2', 'TOB 7:6', 'TOB 9:6', 'TOB 13:15', 'ESG 1:1a', 'ESG 1:1a', 'ESG 4:17', 'WIS 2:10', 'WIS 2:12', 'WIS 2:16', 'WIS 2:18', 'WIS 3:1', 'WIS 3:10', 'WIS 4:7', 'WIS 4:16', 'WIS 5:1', 'WIS 5:15', 'WIS 10:4', 'WIS 10:5', 'WIS 10:6', 'WIS 10:10', 'WIS 10:13', 'WIS 10:20', 'WIS 11:14', 'WIS 12:9', 'WIS 12:15', 'WIS 12:19', 'WIS 14:30', 'WIS 16:17', 'WIS 16:23', 'WIS 18:7', 'WIS 18:20', 'WIS 19:16', 'WIS 19:17', 'SIR 9:16', 'SIR 10:23', 'SIR 27:8', 'SIR 35:5', 'SIR 35:6', 'SIR 35:18', 'SIR 44:17', 'BAR 2:9', 'LJE 1:72', 'SUS 1:3', 'SUS 1:9', 'SUS 1:53', '1MA 7:12', '1MA 11:33', '2MA 1:24', '2MA 1:25', '2MA 4:34', '2MA 7:36', '2MA 9:12', '2MA 9:18', '2MA 10:12', '2MA 11:14', '2MA 12:6', '2MA 13:23', '3MA 2:3', '3MA 2:22', '3MA 2:25', '3MA 3:5', '4MA 2:23', '4MA 6:34', '4MA 9:6', '4MA 9:24', '4MA 13:24', '4MA 15:10', '4MA 16:21', '4MA 18:15', '1ES 4:39']
7335	['ESG 8:12', 'WIS 1:8', 'WIS 11:20', 'WIS 12:24', 'WIS 14:31', 'WIS 18:11', '2MA 8:11', '2MA 8:13', '4MA 4:13', '4MA 4:21', '4MA 6:28', '4MA 8:14', '4MA 8:22', '4MA 9:9', '4MA 9:15', '4MA 9:32', '4MA 11:3', '4MA 12:12', '4MA 18:22']
7336	['JDT 5:1', 'JDT 7:22', 'WIS 5:12', 'WIS 19:17', '1MA 11:46']
7337	['2MA 4:14']
7338	['JDT 11:19']
7339	['WIS 1:3', 'WIS 2:19', 'WIS 3:6', 'WIS 11:10', 'SIR 2:5', 'SIR 27:5', 'SIR 31:10', 'SIR 31:26', 'SIR 42:8', '2MA 1:34', '2MA 4:3', '3MA 2:6', '4MA 17:12']
7340	['SIR 29:22', 'LJE 1:19', 'LJE 1:54']
7341	['JDT 12:13', 'ESG 3:1', 'ESG 4:17', 'ESG 4:17', 'ESG 6:6', 'ESG 6:6', 'ESG 6:7', 'ESG 6:9', 'ESG 6:11', 'ESG 10:3', 'WIS 8:3', 'WIS 18:8', 'WIS 19:22', 'SIR 3:2', 'SIR 3:4', 'SIR 3:6', 'SIR 3:10', 'SIR 3:20', 'SIR 7:27', 'SIR 7:31', 'SIR 10:23', 'SIR 10:24', 'SIR 10:26', 'SIR 10:27', 'SIR 10:28', 'SIR 10:29', 'SIR 10:30', 'SIR 10:30', 'SIR 10:31', 'SIR 24:12', 'SIR 25:5', 'SIR 35:7', 'SIR 36:5', 'SIR 43:28', 'SIR 43:30', 'SIR 44:7', 'SIR 45:3', 'SIR 46:2', 'SIR 46:12', 'SIR 47:6', 'SIR 48:4', 'SIR 48:6', 'SIR 49:16', 'SIR 50:5', 'SIR 50:11', '1MA 2:18', '1MA 2:64', '1MA 3:14', '1MA 5:63', '1MA 10:65', '1MA 10:88', '1MA 11:42', '1MA 11:51', '1MA 14:15', '1MA 14:29', '1MA 14:39', '1MA 15:9', '2MA 3:2', '2MA 4:24', '3MA 6:18', '4MA 18:13', '1ES 8:25', '1ES 8:64', '1ES 8:78', '1ES 9:52']
7342	['4MA 9:28']
7343	['SIR 27:20']
